"n_Acc","x","y","shoe","row_number","horiz_dist","distance_shape","new_x"
1,-0.0916666666666667,-0.328333333333333,1,1,0.0333333333333333,0.135,-0.099
1,-0.0516666666666667,-0.251666666666667,1,2,0.0633333333333333,0.131666666666667,-0.0591545893719807
1,-0.0483333333333333,0.191666666666667,1,3,0.09,0.151666666666667,-0.0529919678714859
1,-0.0416666666666667,0.315,1,4,0.1,0.148333333333333,-0.0436274509803922
1,-0.00833333333333333,0.231666666666667,1,5,0.13,0.151666666666667,-0.00913654618473895
1,-0.005,0.185,1,6,0.130170827931778,0.151666666666667,-0.0056101848670785
1,0.00833333333333333,-0.408333333333333,1,7,0.116856987619721,0.115,0.00765501139415325
1,0.0316666666666667,0.351666666666667,1,8,0.140356688476182,0.128333333333333,0.0236240531729789
1,0.0616666666666667,0.0516666666666667,1,9,0.150037032465692,0.158333333333333,0.0461205398342352
1,0.075,0.238333333333333,1,10,0.166666666666667,0.161666666666667,0.0501724137931034
1,0.075,0.0916666666666667,1,11,0.16,0.168333333333333,0.0537234042553192
1,0.0883333333333333,0.401666666666667,1,12,0.053748384988657,0.0983333333333333,0.0611346147392894
1,0.095,0.0883333333333333,1,13,0.13703203194063,0.165,0.0675553278954639
1,0.108333333333333,-0.318333333333333,1,14,0.0372677996249969,0.131666666666667,0.0979655075415593
1,0.111666666666667,0.095,1,15,0.123378370155478,0.168333333333333,0.0799728531874759
1,0.115,-0.161666666666667,1,16,0.0542627353203323,0.135,0.0917213110766449
1,0.131666666666667,-0.105,1,17,0.0566666666666663,0.138333333333333,0.0967109144542775
1,0.158333333333333,0.171666666666667,1,18,0.0867307455417182,0.171666666666667,0.110912034437384
1,0.165,0.118333333333333,1,19,0.0766666666666667,0.171666666666667,0.117206896551724
1,0.168333333333333,0.261666666666667,1,20,0.0636832439151429,0.158333333333333,0.114874454635344
1,0.181666666666667,0.171666666666667,1,21,0.0634209919681345,0.171666666666667,0.127244722499801
0,0.025,0.065,1,22,0.116856987619721,0.161666666666667,0.0284911355759312
0,-0.0883333333333333,-0.308333333333333,1,23,0.0333333333333334,0.135,-0.0980136986301369
0,0.215,0.265,1,24,0.0169967317119759,0.158333333333333,0.146733388938123
0,-0.055,0.245,1,25,0.0833333333333333,0.151666666666667,-0.0603012048192771
0,0.105,-0.191666666666667,1,26,0.0566666666666667,0.135,0.087680412371134
0,0.0683333333333333,-0.418333333333333,1,27,0.0537483849886571,0.115,0.0643694522107478
0,-0.035,0.388333333333333,1,28,0.0900617072407087,0.128333333333333,-0.0359156033111036
0,-0.0416666666666667,0.101666666666667,1,29,0.0669991708074726,0.141666666666667,-0.0543204553977928
0,0.0416666666666667,0.095,1,30,0.146818103636968,0.168333333333333,0.0372119661317466
0,0.0316666666666667,-0.348333333333333,1,31,0.11020183503211,0.128333333333333,0.028645462806942
0,0.105,-0.418333333333333,1,32,0.0179505493571151,0.115,0.0982102159212616
0,0.145,0.225,1,33,0.0967241208569794,0.165,0.0989764691880115
0,0.108333333333333,0.308333333333333,1,34,0.100055540132025,0.145,0.0753799042727902
0,0.00833333333333333,0.241666666666667,1,35,0.146666666666667,0.161666666666667,0.00869175627240141
0,0.0516666666666667,0.181666666666667,1,36,0.186696426199206,0.171666666666667,0.0372098060056441
0,-0.0216666666666667,-0.408333333333333,1,37,0.1,0.121666666666667,-0.0216666666666667
0,0.0883333333333333,-0.311666666666667,1,38,0.06,0.131666666666667,0.0784082397003745
0,0.0183333333333333,0.471666666666667,1,39,0.0641179468722378,0.0416666666666667,0.00926473048064659
0,-0.0583333333333333,-0.328333333333333,1,40,0.0666666666666667,0.135,-0.063
0,0.0483333333333333,0.265,1,41,0.183363633859668,0.158333333333333,0.0330292531252819
1,-0.035,-0.325,2,42,0.126666666666667,0.135,-0.0292268041237113
1,0.055,0.371666666666667,2,43,0.120185042515466,0.115,0.0361046805662167
1,0.0583333333333333,0.0816666666666667,2,44,0.166666666666667,0.165,0.0427777777777777
0,0.035,-0.398333333333333,2,45,0.0869226987360354,0.118333333333333,0.033969611152009
0,0.138333333333333,-0.195,2,46,0.036666666666667,0.135,0.106714285714285
0,0.111666666666667,0.185,2,47,0.123333333333333,0.171666666666667,0.0815721040189128
0,-0.125,0.148333333333333,2,48,0.0301846171271247,0.148333333333333,-0.119481344284773
0,0.151666666666667,-0.261666666666667,2,49,0.0199999999999997,0.135,0.119271844660194
0,-0.0383333333333333,-0.215,2,50,0.116666666666667,0.125,-0.0309139784946236
0,0.0416666666666667,0.288333333333333,2,51,0.176792408082348,0.151666666666667,0.0289273606587632
