"n_Acc","x","y","shoe","row_number","min_dist","horiz_dist"
0,0.151666666666667,-0.178333333333333,182,24508,0.0339934634239516,0.0339934634239516
0,-0.055,-0.225,182,24509,0.0636832439151427,0.0636832439151427
0,0.111666666666667,-0.108333333333333,182,24510,0.0843932593411475,0.0866666666666663
0,-0.005,0.205,182,24511,0.116428327977153,0.120046287369127
0,0.0816666666666667,0.161666666666667,182,24512,0.15,0.15
0,0.00166666666666667,0.428333333333333,182,24513,0.0633333333333336,0.0966666666666667
0,0.0283333333333333,-0.228333333333333,182,24514,0.147007180474666,0.147007180474666
0,0.0816666666666667,-0.391666666666667,182,24515,0.0848528137423854,0.0866666666666666
0,0.141666666666667,-0.358333333333333,182,24516,0.0328295260059868,0.033333333333333
0,0.105,-0.241666666666667,182,24517,0.0734090518184841,0.0734090518184841
0,0.161666666666667,0.235,182,24518,0.0643773597194262,0.0666666666666663
0,0.0283333333333333,-0.381666666666667,182,24519,0.111255461788524,0.140356688476182
0,-0.0216666666666667,0.338333333333333,182,24520,0.10077477638554,0.11
0,0.211666666666667,0.105,182,24521,0.0194365063161507,0.0194365063161507
0,0.0716666666666667,-0.301666666666667,182,24522,0.107134391199921,0.107134391199921
0,-0.065,-0.405,182,24523,0.0517472489875334,0.053748384988657
0,-0.0516666666666667,0.0983333333333333,182,24524,0.0733333333333333,0.0733333333333333
0,0.138333333333333,-0.361666666666667,182,24525,0.0348010216963687,0.0348010216963687
0,0.0616666666666667,0.418333333333333,182,24526,0.0551764845241564,0.0667499479816693
0,-0.0883333333333333,0.0383333333333333,182,24527,0.0298142396999972,0.03
0,0.0583333333333333,0.065,182,24528,0.154236470683457,0.16
0,-0.0683333333333333,0.0816666666666667,182,24529,0.053748384988657,0.053748384988657
0,0.161666666666667,0.125,182,24530,0.0699999999999996,0.0699999999999996
0,0.168333333333333,0.145,182,24531,0.0633333333333337,0.0633333333333337
0,-0.065,0.355,182,24532,0.0565685424949238,0.0636832439151427
0,0.0583333333333333,-0.145,182,24533,0.131529464379659,0.133333333333333
0,0.155,-0.271666666666667,182,24534,0.0242670329642685,0.0242670329642685
0,0.111666666666667,0.115,182,24535,0.116428327977153,0.12
0,0.095,0.131666666666667,182,24536,0.136666666666667,0.136666666666667
0,-0.0116666666666667,0.438333333333333,182,24537,0.0533333333333336,0.08
0,0.0383333333333333,-0.231666666666667,182,24538,0.140633487398193,0.143333333333333
0,-0.0283333333333333,-0.265,182,24539,0.0968962790249909,0.0968962790249909
0,0.0483333333333333,-0.365,182,24540,0.122927259430572,0.123513382090993
0,0.178333333333333,0.231666666666667,182,24541,0.0500000000000003,0.0500000000000003
0,0.0816666666666667,0.355,182,24542,0.077817450199525,0.0968962790249909
0,0.095,-0.175,182,24543,0.0905538513813742,0.0933333333333333
0,0.035,0.311666666666667,182,24544,0.141421356237309,0.160138828659524
0,-0.00166666666666667,0.0116666666666667,182,24545,0.113333333333333,0.113333333333333
0,0.0483333333333333,0.205,182,24546,0.168786518682295,0.173365381652611
0,0.145,0.131666666666667,182,24547,0.0866666666666667,0.0866666666666667
0,0.015,0.168333333333333,182,24548,0.14560219778561,0.153333333333333
0,0.055,0.211666666666667,182,24549,0.173076733143296,0.176666666666667
0,-0.095,0.0983333333333333,182,24550,0.03,0.03
0,0.0716666666666667,-0.00166666666666667,182,24551,0.133333333333333,0.133333333333333
0,0.00833333333333333,-0.471666666666667,182,24552,0.0199999999999996,0.0412310562561765
0,0.111666666666667,0.111666666666667,182,24553,0.11513277359447,0.12
0,-0.0416666666666667,0.475,182,24554,0.0223606797749979,0.0401386485959743
0,0.118333333333333,0.178333333333333,182,24555,0.113333333333334,0.113333333333334
0,0.0483333333333333,-0.0183333333333333,182,24556,0.156666666666667,0.156666666666667
0,0.121666666666667,0.168333333333333,182,24557,0.11,0.11
0,-0.005,0.245,182,24558,0.113333333333333,0.113333333333333
0,0.108333333333333,0.115,182,24559,0.119489655526233,0.123333333333334
0,0.155,-0.0883333333333333,182,24560,0.0466666666666667,0.0466666666666667
0,0.00833333333333333,0.245,182,24561,0.126666666666667,0.126666666666667
0,0.035,-0.288333333333333,182,24562,0.14522013940528,0.146666666666667
0,0.0816666666666667,0.305,182,24563,0.110805134257298,0.123378370155478
0,0.131666666666667,-0.408333333333333,182,24564,0.0328295260059869,0.033499585403736
0,0.178333333333333,0.141666666666667,182,24565,0.0533333333333336,0.0533333333333336
0,-0.005,0.435,182,24566,0.0566666666666666,0.0867307455417179
0,0.015,-0.448333333333333,182,24567,0.043461349368018,0.10354816378006
1,-0.095,0.205,183,24568,0.0966666666666667,0.0966666666666667
1,-0.0483333333333333,0.261666666666667,183,24569,0.141421356237309,0.143333333333333
1,0.00166666666666667,-0.235,183,24570,0.117851130197758,0.12
1,0.0183333333333333,-0.388333333333333,183,24571,0.0991071249821237,0.140039676917333
1,0.035,0.065,183,24572,0.182482875908947,0.183333333333333
1,0.0483333333333333,0.111666666666667,183,24573,0.173237152802484,0.173333333333333
1,0.0583333333333333,-0.211666666666667,183,24574,0.103333333333333,0.103333333333333
1,0.0716666666666667,-0.005,183,24575,0.126491106406735,0.133499895963339
1,0.085,0.175,183,24576,0.130170827931778,0.133333333333333
1,0.085,0.0383333333333333,183,24577,0.128668393770792,0.130042728020874
1,0.0916666666666667,-0.185,183,24578,0.0707106781186547,0.0733333333333333
1,0.115,-0.005,183,24579,0.0856997342145496,0.0902465758045392
1,0.118333333333333,0.025,183,24580,0.092975504539876,0.096666666666667
1,0.188333333333333,0.085,183,24581,0.0307318148576433,0.0307318148576433
0,0.151666666666667,-0.255,183,24582,0.013333333333333,0.013333333333333
0,-0.0916666666666667,0.158333333333333,183,24583,0.092855921847894,0.0938675189355247
0,-0.148333333333333,0.251666666666667,183,24584,0.0433333333333337,0.0433333333333337
0,0.158333333333333,0.231666666666667,183,24585,0.0453382350291184,0.0471404520791035
0,0.135,0.241666666666667,183,24586,0.0654896090146282,0.0667499479816692
0,0.101666666666667,0.291666666666667,183,24587,0.0824621125123528,0.0866666666666663
0,0.0416666666666667,0.325,183,24588,0.127584394726698,0.136666666666667
0,-0.0883333333333333,-0.325,183,24589,0.0434613493680177,0.0434613493680177
0,0.00166666666666667,0.161666666666667,183,24590,0.183605858052272,0.19
0,-0.131666666666667,0.278333333333333,183,24591,0.0567646212197544,0.0567646212197544
